date,average_chlor_a,standard_deviation_chlor_a,median_chlor_a,quantile5_chlor_a,quantile95_chlor_a
2012-01-01,1.03064,0.41132,0.92423,0.51231,1.72128
2012-02-01,1.17235,0.30081,1.16081,0.72313,1.52717
2012-03-01,0.86747,0.24305,0.8507,0.55231,1.26334
2012-04-01,0.99488,0.26412,0.94122,0.70327,1.50718
2012-05-01,3.09988,1.5889,2.99499,0.92529,5.86311
2012-06-01,2.6081,1.9272,2.32978,0.42694,6.36424
2012-07-01,1.72467,2.26533,1.15033,0.33212,6.18387
2012-08-01,0.85857,0.56847,0.63459,0.2741,1.90486
2012-09-01,0.79063,0.67658,0.43011,0.20372,1.98299
2012-10-01,0.47051,0.23899,0.40136,0.22671,0.86819
2012-11-01,0.77723,0.38849,0.71816,0.36136,1.35984
2012-12-01,1.05045,0.56432,0.9159,0.39813,2.1622
2013-01-01,1.07942,0.30575,1.03219,0.71559,1.57242
2013-02-01,0.69605,0.15301,0.67267,0.52154,1.01862
2013-03-01,1.63746,0.84746,1.39021,0.53388,3.28182
2013-04-01,1.70707,0.59987,1.54053,0.96944,2.87927
2013-05-01,2.30136,1.37081,2.23775,0.49856,4.28955
2013-06-01,1.82692,0.94072,1.8212,0.46767,3.26227
2013-07-01,1.11011,0.63757,0.9774,0.35534,2.35342
2013-08-01,1.23742,0.85251,0.93515,0.37908,2.54102
2013-09-01,1.58606,1.24876,1.06625,0.28888,3.84357
2013-10-01,0.79557,0.6083,0.53143,0.23585,1.76755
2013-11-01,0.7715,0.50132,0.62906,0.24997,1.66638
2013-12-01,1.03548,0.56275,0.95544,0.38648,1.87445
2014-01-01,0.57506,0.22866,0.55725,0.29431,0.88731
2014-02-01,1.13734,0.64422,1.20764,0.24497,2.17582
2014-03-01,0.85168,0.33321,0.87891,0.2658,1.34621
2014-04-01,1.21023,0.59146,1.14718,0.39742,2.16107
2014-05-01,1.50984,0.68708,1.61477,0.29323,2.59702
2014-06-01,1.40552,1.17492,1.14433,0.2122,3.13842
2014-07-01,0.46401,0.2831,0.40126,0.18847,0.83071
2014-08-01,0.60013,0.22951,0.56175,0.36241,0.90222
2014-09-01,0.73402,0.40282,0.71266,0.21306,1.25491
2014-10-01,0.38647,0.20928,0.32716,0.19792,0.68111
2014-11-01,0.41008,0.21396,0.35296,0.19259,0.76937
2014-12-01,0.43089,0.27322,0.40562,0.22873,0.68996
2015-01-01,0.39827,0.15908,0.39635,0.22101,0.60671
2015-02-01,0.3552,0.16409,0.33576,0.19916,0.5732
2015-03-01,0.65054,0.3427,0.64223,0.16199,1.20207
2015-04-01,1.23286,0.77288,1.14404,0.26253,2.52522
2015-05-01,1.00415,0.51836,0.96831,0.29044,1.88282
2015-06-01,0.86385,0.57197,0.66912,0.24517,1.88999
2015-07-01,0.51887,0.51455,0.44175,0.25235,0.8305
2015-08-01,0.67132,0.41786,0.55186,0.25141,1.22178
2015-09-01,0.33688,0.14947,0.29211,0.21052,0.547
2015-10-01,0.30749,0.14061,0.27585,0.16305,0.51535
2015-11-01,0.43023,0.20788,0.38631,0.19741,0.76106
2015-12-01,0.54287,0.17919,0.49897,0.35004,0.83897
2016-01-01,0.80002,0.28349,0.75863,0.49937,1.24434
2016-02-01,0.8323,0.27894,0.79854,0.481,1.33163
2016-03-01,1.34028,0.45491,1.30914,0.58078,2.05321
2016-04-01,1.88567,0.83379,1.70822,0.80312,3.49277
2016-05-01,1.45486,0.83603,1.12645,0.43893,2.96451
2016-06-01,1.90879,0.74695,1.83924,0.86258,3.10025
2016-07-01,1.46425,1.07775,1.1193,0.35835,3.69973
2016-08-01,0.9582,0.48536,0.90345,0.2866,1.85168
2016-09-01,0.8917,0.44407,0.7616,0.37202,1.57529
2016-10-01,1.18982,0.56956,1.18591,0.3888,1.89192
2016-11-01,1.11797,0.67828,0.96433,0.36122,2.22916
2016-12-01,0.997,0.44003,0.85764,0.46072,1.80274
2017-01-01,0.67358,0.21448,0.61717,0.42694,1.03305
2017-02-01,0.87271,0.30709,0.81849,0.47296,1.36702
2017-03-01,1.38327,0.59152,1.3092,0.48692,2.35023
2017-04-01,1.98385,0.74763,1.97053,0.73972,3.07534
2017-05-01,2.60361,1.20787,2.6852,0.7277,4.23607
2017-06-01,1.62094,0.9534,1.58845,0.4935,3.08643
2017-07-01,0.865,0.44994,0.82172,0.23409,1.60352
2017-08-01,0.75673,0.46934,0.5784,0.23147,1.59499
2017-09-01,0.95534,0.42062,0.94474,0.3085,1.5457
2017-10-01,0.82038,0.50565,0.68495,0.30236,1.63073
2017-11-01,0.74688,0.31126,0.7177,0.36416,1.33122
2017-12-01,0.72627,0.23821,0.72042,0.30585,1.07592
2018-01-01,0.83673,0.34092,0.84222,0.37632,1.23412
2018-02-01,0.85818,0.33889,0.85066,0.30942,1.33259
2018-03-01,1.16173,0.40066,1.10944,0.63001,1.75675
2018-04-01,2.98266,1.32893,2.53449,1.51257,5.80417
2018-05-01,1.37461,0.70477,1.35211,0.52375,2.46657
2018-06-01,1.16898,0.6584,1.10014,0.33824,2.31571
2018-07-01,1.425,0.81095,1.32523,0.47415,3.20822
2018-08-01,0.90285,0.52161,0.71537,0.35524,1.90262
2018-09-01,1.26956,0.41658,1.16292,0.74303,2.08478
2018-10-01,0.7109,0.36502,0.57573,0.34847,1.31931
2018-11-01,0.6054,0.37931,0.51794,0.32982,0.99356
2018-12-01,0.83026,0.34969,0.77802,0.34539,1.34629
2019-01-01,0.78063,0.30328,0.77422,0.41058,1.15646
2019-02-01,1.30222,0.49819,1.23014,0.80194,2.05012
2019-03-01,1.8988,0.81639,1.80811,0.80871,3.26489
2019-04-01,2.93902,2.12392,2.07417,0.80137,7.10125
2019-05-01,1.31278,0.49321,1.23591,0.63091,2.20652
2019-06-01,1.27625,0.65101,1.14466,0.45921,2.45473
2019-07-01,1.66288,1.85517,1.19581,0.48729,3.42942
2019-08-01,1.78183,0.69342,1.58716,0.97182,3.28201
2019-09-01,1.50448,0.73725,1.28533,0.66511,2.69521
2019-10-01,1.44658,0.759,1.27505,0.4653,2.70022
2019-11-01,0.72147,0.32947,0.7195,0.33263,1.15348
2019-12-01,0.63863,0.3101,0.57132,0.34621,1.1024
2020-01-01,0.88813,0.50161,0.89692,0.27793,1.65051
2020-02-01,0.82,0.63203,0.69402,0.24275,1.62666
2020-03-01,0.86413,0.50188,0.86809,0.20984,1.58814
2020-04-01,1.36571,0.69641,1.35409,0.32361,2.64351
2020-05-01,1.47912,0.82386,1.4551,0.23121,3.01346
2020-06-01,2.35587,1.31805,2.31014,0.41281,4.79628
2020-07-01,2.01724,0.94443,1.68102,0.98395,3.99511
2020-08-01,1.35492,0.73572,1.2001,0.50057,2.88103
2020-09-01,1.25078,0.68488,1.10268,0.38226,2.43959
2020-10-01,0.74167,0.293,0.70593,0.29143,1.20123
2020-11-01,1.09751,0.38937,1.11413,0.37703,1.65991
2020-12-01,1.03932,0.46735,0.98476,0.33503,1.73798
2021-01-01,1.14301,0.51548,1.12932,0.34895,1.99654
2021-02-01,1.59903,0.5233,1.53454,0.72875,2.46954
2021-03-01,2.02108,0.86711,1.87593,0.68324,3.5873
2021-04-01,1.48118,0.4337,1.51162,0.722,2.17953
2021-05-01,1.46077,0.4223,1.49767,0.71863,2.15517
2021-06-01,0.52135,0.30301,0.45403,0.22761,1.26393
2021-07-01,0.52135,0.30301,0.45403,0.22761,1.26393
2021-08-01,0.85481,0.50176,0.83529,0.24021,1.62877
2021-09-01,0.80043,0.24091,0.79282,0.4555,1.21564
2021-10-01,1.58153,0.54123,1.54411,0.73078,2.45677
2021-11-01,0.68397,0.20146,0.65968,0.43711,1.00657
2021-12-01,0.4634,0.14209,0.43318,0.31728,0.70279
2022-01-01,0.61475,0.19494,0.58436,0.35891,0.91504
2022-02-01,0.79445,0.20871,0.77377,0.44758,1.17521
2022-03-01,1.25785,0.32457,1.21322,0.78071,1.8068
2022-04-01,1.64363,0.55229,1.58678,0.86637,2.68981
2022-05-01,1.59644,0.49094,1.60807,0.72949,2.22957
