"","term","definition","X","X.1","X.2","X.3","X.4","X.5"
"1","aragonite","a mineral consisting of calcium carbonate. Aragonite is one of the more soluble forms of calcium carbonate and is widely used by marine calcifiers (organisms with calcium carbonate structures)",NA,NA,NA,NA,NA,NA
"2","aragonite saturation","aragonite saturation state is commonly used to track ocean acidification because it is a measure of carbonate ion concentration",NA,NA,NA,NA,NA,NA
"3","beach wrack","organic material such as kelp and sea grass that is cast up onto the beach by surf, tides, and wind.",NA,NA,NA,NA,NA,NA
"4","benthic","of, relating to, or occurring at the bottom of a body of water (e.g. the bottom of the sea floor)",NA,NA,NA,NA,NA,NA
"5","biodiversity","the variety of life in the world or in a particular habitat or ecosystem. Can be used to investigate the health of an ecosystem",NA,NA,NA,NA,NA,NA
"6","bivalve","a large group of aquatic animal species that have two shells (like clams, for example)",NA,NA,NA,NA,NA,NA
"7","chlorophyll-a","a specific form of chlorophyll used in oxygenic photosynthesis",NA,NA,NA,NA,NA,NA
"8","CINMS","Channel Islands National Marine Sanctuary",NA,NA,NA,NA,NA,NA
"9","crustacean","a large category of animal species that includes crabs, lobsters, and shrimp ",NA,NA,NA,NA,NA,NA
"10","cryptic ","mysterious or obscure, organisms that hide in plain site or in hard to find areas are said to be cryptic",NA,NA,NA,NA,NA,NA
"11","demersal","(chiefly of fish) living close to the floor of the sea or a lake.",NA,NA,NA,NA,NA,NA
"12","domoic acid","neurotoxin that causes amnesic shellfish poisoning (ASP). It is produced by algae and accumulates in shellfish, sardines, and anchovies",NA,NA,NA,NA,NA,NA
"13","encrusting invertebrate","Typically colonial invertebrates such as Bryozoans and Hydrozoans that grow on and over structures and/or other organisms",NA,NA,NA,NA,NA,NA
"14","fixed gear","includes rod & reel, powered rod & reel or hook troll, but generally means trapping or potting, and gillnetting, where the catching implement is set, soaked and later retrieved",NA,NA,NA,NA,NA,NA
"15","forage fish","small fish that are preyed upon by larger fish in an ecosystem",NA,NA,NA,NA,NA,NA
"16","groundfish","any of more than 90 different types of roundfish, flatfish, rockfish, sharks, and skates off the West Coast.",NA,NA,NA,NA,NA,NA
"17","harmful algal bloom","(HAB) occurs when colonies of micro-algae grow out of control and produce toxic or harmful effects on people, fish, shellfish, marine mammals and birds",NA,NA,NA,NA,NA,NA
"18","infauna","the animals living in the sediments of the ocean floor or river or lake beds",NA,NA,NA,NA,NA,NA
"19","invasive ","an invasive species is an animal or plant from another region of the world that doesn't belong in its new environment",NA,NA,NA,NA,NA,NA
"20","invertebrate","an animal lacking a backbone, such as an arthropod, mollusk, annelid, coelenterate, etc. The invertebrates constitute an artificial division of the animal kingdom, comprising 95 percent of all animal species",NA,NA,NA,NA,NA,NA
"21","krill","a category of small crustacean species that are commonly found throughout the world's oceans",NA,NA,NA,NA,NA,NA
"22","macrofauna","organisms visible to the naked eye (> 0.5 mm) that commonly inhabit the benthos, where they can be found buried in sediment or attached to a fixed substrate",NA,NA,NA,NA,NA,NA
"23","macrophyte","a plant, especially an aquatic plant, large enough to be seen by the naked eye. Macrophytes in the sanctuary include seagrasses and algae",NA,NA,NA,NA,NA,NA
"24","marine debris","human-created waste that has deliberately or accidentally been released in a sea or ocean",NA,NA,NA,NA,NA,NA
"25","myctophid","small mesopelagic fish of the large family Myctophida",NA,NA,NA,NA,NA,NA
"26","non-native","species that have recently been introduced to an ecosystem",NA,NA,NA,NA,NA,NA
"27","ocean acidification ","a reduction in seawater pH, which causes the water to be more acidic. This chemical pathway is driven by excess cardon dioxide (CO2) being taken into the ocean from the atmosphere ",NA,NA,NA,NA,NA,NA
"28","phytoplankton","the autotrophic components of the plankton community and a key part of oceans, seas and freshwater basin ecosystems",NA,NA,NA,NA,NA,NA
"29","plankton","the word “plankton” comes from the Greek for “drifter” or “wanderer.” An organism is considered plankton if it is carried by tides and currents, and cannot swim well enough to move against these forces. ",NA,NA,NA,NA,NA,NA
"30","sidescan sonar","an acoustic technology used to map the ocean floor",NA,NA,NA,NA,NA,NA
"31","Southern California Bight","the curved coastline of Southern California from Point Conception to San Diego. The area includes the Channel Islands and part of the Pacific Ocean",NA,NA,NA,NA,NA,NA
"32","trawling","a method of fishing that involves pulling a fishing net through the water behind one or more boats",NA,NA,NA,NA,NA,NA
"33","vessel grounding","the impact of a ship on seabed or waterway side. In accidental cases, it is commonly referred to as ""running aground""",NA,NA,NA,NA,NA,NA
