date,chlor_a
2012-01-02,1.3600326776504517
2012-02-01,0.8720017671585083
2012-03-01,1.0630276203155518
2012-04-01,1.075451374053955
2012-05-01,3.596921682357788
2012-06-01,1.037499189376831
2012-07-01,1.8082482814788818
2012-08-01,3.270953893661499
2012-09-01,2.137460470199585
2012-10-01,2.4923439025878906
2012-11-01,0.5768536329269409
2012-12-01,NA
2013-01-01,1.1211718320846558
2013-02-01,NA
2013-03-01,2.6417524814605713
2013-04-01,4.516364097595215
2013-05-01,3.7099711894989014
2013-06-01,3.0884153842926025
2013-07-01,10.926278114318848
2013-08-01,1.6499214172363281
2013-09-01,1.5655030012130737
2013-10-01,1.2748031616210938
2013-11-01,0.36629101634025574
2013-12-01,NA
2014-01-01,1.0113799571990967
2014-02-01,1.3628870248794556
2014-03-01,1.3431262969970703
2014-04-01,3.4525768756866455
2014-05-01,1.68052077293396
2014-06-01,5.186012268066406
2014-07-01,5.238555908203125
2014-08-01,11.15061092376709
2014-09-01,2.51238751411438
2014-10-01,0.7502570748329163
2014-11-01,0.8203185796737671
2014-12-01,NA
2015-01-01,1.3700895309448242
2015-02-01,2.282972812652588
2015-03-01,4.391955375671387
2015-04-01,1.6971114873886108
2015-05-01,1.342494249343872
2015-06-01,3.3030805587768555
2015-07-01,1.8937309980392456
2015-08-01,0.9051975011825562
2015-09-01,0.6997835040092468
2015-10-01,0.6682876944541931
2015-11-01,1.056837797164917
2015-12-01,NA
2016-01-01,NA
2016-02-01,0.7578123807907104
2016-03-01,1.852746605873108
2016-04-01,1.3120020627975464
2016-05-01,5.406962871551514
2016-06-01,2.0971012115478516
2016-07-01,2.548795223236084
2016-08-01,2.4221913814544678
2016-09-01,1.0864346027374268
2016-10-01,0.8951617479324341
2016-11-01,0.3436566889286041
2016-12-01,NA
2017-01-01,0.9108343124389648
2017-02-01,0.6968045234680176
2017-03-01,1.1639946699142456
2017-04-01,2.4876489639282227
2017-05-01,2.0803580284118652
2017-06-01,2.3643810749053955
2017-07-02,4.653458595275879
2017-08-01,3.054074764251709
2017-09-01,2.32798433303833
2017-10-01,1.987247347831726
2017-11-01,0.7355250716209412
2017-12-01,NA
2018-01-01,0.6110762357711792
2018-02-01,1.4687367677688599
2018-03-01,2.950631856918335
2018-04-01,0.9404162764549255
2018-05-01,2.0046467781066895
2018-06-01,1.6318548917770386
2018-07-01,4.498065948486328
2018-08-01,1.5257799625396729
2018-09-01,1.6610732078552246
2018-10-01,2.6671109199523926
2018-11-01,2.2913360595703125
2018-12-01,NA
2019-01-01,1.337788701057434
2019-02-01,1.6028084754943848
2019-03-01,1.9372973442077637
2019-04-01,4.463794708251953
2019-05-01,3.806234121322632
2019-06-01,2.5792171955108643
2019-07-01,1.833219289779663
